Instance,Size,Algorithm,Cost,Time,BKS
CMT1,51,Standard,578.1191428212128,1.9505248069763184,524.61
CMT1,51,Standard,566.8322763460341,0.681359052658081,524.61
CMT1,51,Standard,567.1954020128404,0.6731297969818115,524.61
CMT1,51,Standard,576.9985462892627,0.6861529350280762,524.61
CMT1,51,Standard,548.6481140713489,0.6856439113616943,524.61
CMT1,51,Standard,571.5164219787034,0.6807882785797119,524.61
CMT1,51,Standard,567.1933096408859,0.6630556583404541,524.61
CMT1,51,Standard,587.3533194776976,0.6746540069580078,524.61
CMT1,51,Standard,586.6080112718556,0.6673085689544678,524.61
CMT1,51,Standard,568.8029583470562,0.6671440601348877,524.61
CMT1,51,Standard,571.3310599703512,0.6562435626983643,524.61
CMT1,51,Standard,564.6430273291943,0.6690371036529541,524.61
CMT1,51,Standard,568.79708053631,0.6866693496704102,524.61
CMT1,51,Standard,562.1295828625498,0.6576530933380127,524.61
CMT1,51,Standard,567.457539649412,0.6987202167510986,524.61
CMT1,51,Standard,567.7908063460848,0.683983564376831,524.61
CMT1,51,Standard,581.3232953702862,0.6675939559936523,524.61
CMT1,51,Standard,570.3939492358797,0.6562023162841797,524.61
CMT1,51,Standard,603.7158398569816,0.6837661266326904,524.61
CMT1,51,Standard,558.7630256110324,0.6651537418365479,524.61
CMT1,51,Hybrid,539.2682558848636,0.47843360900878906,524.61
CMT1,51,Hybrid,537.025029079013,0.5771646499633789,524.61
CMT1,51,Hybrid,536.5459486760594,0.5017762184143066,524.61
CMT1,51,Hybrid,536.6833719453937,0.5936024188995361,524.61
CMT1,51,Hybrid,544.3878137010007,0.561089277267456,524.61
CMT1,51,Hybrid,527.7108719831407,0.5462300777435303,524.61
CMT1,51,Hybrid,551.6402097717859,0.5959291458129883,524.61
CMT1,51,Hybrid,541.639087837456,0.6613640785217285,524.61
CMT1,51,Hybrid,554.5397727843823,0.5015017986297607,524.61
CMT1,51,Hybrid,553.9081414659029,0.47075915336608887,524.61
CMT1,51,Hybrid,540.6192450006025,0.6517958641052246,524.61
CMT1,51,Hybrid,548.613021637787,0.5117199420928955,524.61
CMT1,51,Hybrid,552.8399485453112,0.5276832580566406,524.61
CMT1,51,Hybrid,552.772404352655,0.5274195671081543,524.61
CMT1,51,Hybrid,579.6783060585612,0.4647958278656006,524.61
CMT1,51,Hybrid,553.1687434266214,0.608971357345581,524.61
CMT1,51,Hybrid,567.7796097235987,0.5124189853668213,524.61
CMT1,51,Hybrid,551.1655417479817,0.5229134559631348,524.61
CMT1,51,Hybrid,555.3604525936098,0.4771387577056885,524.61
CMT1,51,Hybrid,569.3926157681678,0.4980301856994629,524.61
