Instance,Size,Algorithm,Cost,Time,BKS
CMT11,121,Standard,1185.9735939839757,15.478264331817627,1042.11
CMT11,121,Standard,1148.927166717789,13.023236989974976,1042.11
CMT11,121,Standard,1153.9347799134528,13.834792137145996,1042.11
CMT11,121,Standard,1153.4236842810824,14.048155784606934,1042.11
CMT11,121,Standard,1164.3409720213708,14.298966646194458,1042.11
CMT11,121,Standard,1180.014154486357,14.740615129470825,1042.11
CMT11,121,Standard,1163.9620396702692,15.241250991821289,1042.11
CMT11,121,Standard,1171.348495741839,14.872074127197266,1042.11
CMT11,121,Standard,1191.5986939496252,14.962822198867798,1042.11
CMT11,121,Standard,1170.2075761566696,14.194336652755737,1042.11
CMT11,121,Standard,1194.4484464431414,14.908945322036743,1042.11
CMT11,121,Standard,1149.6563275652447,14.881689071655273,1042.11
CMT11,121,Standard,1174.9803421203999,15.53046989440918,1042.11
CMT11,121,Standard,1170.0129899459864,14.46767544746399,1042.11
CMT11,121,Standard,1171.1381058169131,14.56998896598816,1042.11
CMT11,121,Standard,1159.273739598114,14.31631064414978,1042.11
CMT11,121,Standard,1169.5020019985895,14.327395677566528,1042.11
CMT11,121,Standard,1169.8472416320803,14.818864583969116,1042.11
CMT11,121,Standard,1153.190249596422,14.379242420196533,1042.11
CMT11,121,Standard,1172.2005034223264,14.194366455078125,1042.11
CMT11,121,Hybrid,1055.061801735412,87.49219036102295,1042.11
CMT11,121,Hybrid,1048.7461825416515,80.91904520988464,1042.11
CMT11,121,Hybrid,1063.6932357014673,61.23469614982605,1042.11
CMT11,121,Hybrid,1050.4234063829801,67.27404999732971,1042.11
CMT11,121,Hybrid,1048.7453657221224,75.17645025253296,1042.11
CMT11,121,Hybrid,1050.3410357568073,67.89921641349792,1042.11
CMT11,121,Hybrid,1059.0370541916018,66.25443410873413,1042.11
CMT11,121,Hybrid,1052.0760075216008,75.86668515205383,1042.11
CMT11,121,Hybrid,1049.7191324801186,64.94897699356079,1042.11
CMT11,121,Hybrid,1055.0767029816413,50.2325177192688,1042.11
CMT11,121,Hybrid,1047.6863246215867,70.04203271865845,1042.11
CMT11,121,Hybrid,1049.7550599436897,70.73492860794067,1042.11
CMT11,121,Hybrid,1046.4937473708499,69.77997851371765,1042.11
CMT11,121,Hybrid,1059.0877942575953,60.15215849876404,1042.11
CMT11,121,Hybrid,1053.3531796704594,74.94682884216309,1042.11
CMT11,121,Hybrid,1050.297270825497,76.3533763885498,1042.11
CMT11,121,Hybrid,1052.7083081677051,79.06282496452332,1042.11
CMT11,121,Hybrid,1060.2690270182657,64.74733304977417,1042.11
CMT11,121,Hybrid,1051.1294890380073,78.56648397445679,1042.11
CMT11,121,Hybrid,1047.6183701260388,73.30084013938904,1042.11
