Instance,Size,Algorithm,Cost,Time,BKS
CMT5,200,Standard,1528.7496489794682,44.33938026428223,1291.29
CMT5,200,Standard,1528.8462317727,50.94711875915527,1291.29
CMT5,200,Standard,1570.7560363810421,54.92668032646179,1291.29
CMT5,200,Standard,1556.973169025156,54.039653062820435,1291.29
CMT5,200,Standard,1551.7336315229193,52.00287747383118,1291.29
CMT5,200,Standard,1524.8182980339539,51.56463313102722,1291.29
CMT5,200,Standard,1585.987528386246,51.94073224067688,1291.29
CMT5,200,Standard,1556.1893091103932,53.52492666244507,1291.29
CMT5,200,Standard,1482.4331329123324,55.888452768325806,1291.29
CMT5,200,Standard,1543.2052274739306,52.61140751838684,1291.29
CMT5,200,Standard,1537.7314987670168,50.39724588394165,1291.29
CMT5,200,Standard,1564.6431022876195,50.327473640441895,1291.29
CMT5,200,Standard,1580.5628444681042,47.55004668235779,1291.29
CMT5,200,Standard,1560.7976732659176,48.04413652420044,1291.29
CMT5,200,Standard,1537.178890858336,48.48013496398926,1291.29
CMT5,200,Standard,1521.9040098588544,49.170345306396484,1291.29
CMT5,200,Standard,1602.5631080525213,47.46453404426575,1291.29
CMT5,200,Standard,1535.7564129233635,47.40370535850525,1291.29
CMT5,200,Standard,1548.6146498589987,47.357924461364746,1291.29
CMT5,200,Standard,1520.2550221894053,47.247496366500854,1291.29
CMT5,200,Hybrid,1371.5429599761965,418.9049859046936,1291.29
CMT5,200,Hybrid,1384.8768036193574,384.49347019195557,1291.29
CMT5,200,Hybrid,1380.0746388668947,426.65963912010193,1291.29
CMT5,200,Hybrid,1403.5350354666666,379.7658715248108,1291.29
CMT5,200,Hybrid,1377.5559294191642,353.9379663467407,1291.29
CMT5,200,Hybrid,1392.7823897970984,382.5608687400818,1291.29
CMT5,200,Hybrid,1393.9908161669207,372.4633185863495,1291.29
CMT5,200,Hybrid,1397.5051059527157,375.3941731452942,1291.29
CMT5,200,Hybrid,1399.6079269015127,302.638799905777,1291.29
CMT5,200,Hybrid,1377.1026400583514,306.7291989326477,1291.29
CMT5,200,Hybrid,1389.148412715602,339.5189595222473,1291.29
CMT5,200,Hybrid,1396.7534194246493,331.81580924987793,1291.29
CMT5,200,Hybrid,1390.1046718984555,305.3968527317047,1291.29
CMT5,200,Hybrid,1401.8664358467988,300.321652173996,1291.29
CMT5,200,Hybrid,1377.8750533988557,33306.435054540634,1291.29
CMT5,200,Hybrid,1398.0297981480298,261.9625997543335,1291.29
CMT5,200,Hybrid,1408.3175290119134,281.20634722709656,1291.29
CMT5,200,Hybrid,1380.531920796525,302.6512815952301,1291.29
CMT5,200,Hybrid,1383.803119498903,285.40453696250916,1291.29
CMT5,200,Hybrid,1375.6751865315753,320.73775601387024,1291.29
