Instance,Size,Algorithm,Cost,Time,BKS
CMT2,76,Standard,972.8566295886337,3.28265643119812,835.26
CMT2,76,Standard,1033.5434399779128,1.9664828777313232,835.26
CMT2,76,Standard,972.0859215396919,2.0210397243499756,835.26
CMT2,76,Standard,998.3588927516656,1.9909071922302246,835.26
CMT2,76,Standard,985.3906529957711,2.01242995262146,835.26
CMT2,76,Standard,993.73975339821,1.9922723770141602,835.26
CMT2,76,Standard,942.3878476664141,1.9784791469573975,835.26
CMT2,76,Standard,968.9781252009788,2.0559587478637695,835.26
CMT2,76,Standard,961.9683337348328,2.013451337814331,835.26
CMT2,76,Standard,989.4228243413854,1.9878461360931396,835.26
CMT2,76,Standard,943.047751677458,2.0098228454589844,835.26
CMT2,76,Standard,959.1577338050091,1.9943726062774658,835.26
CMT2,76,Standard,974.549537098344,1.9993362426757812,835.26
CMT2,76,Standard,932.7535472085888,1.9949579238891602,835.26
CMT2,76,Standard,980.3405885480372,2.0158839225769043,835.26
CMT2,76,Standard,1013.8857430267035,1.9603896141052246,835.26
CMT2,76,Standard,973.8886393172133,2.0214385986328125,835.26
CMT2,76,Standard,1036.7502472240553,2.007136821746826,835.26
CMT2,76,Standard,959.7828750498298,2.0904948711395264,835.26
CMT2,76,Standard,993.4617878397378,1.9972827434539795,835.26
CMT2,76,Hybrid,899.7948075851465,2.003873109817505,835.26
CMT2,76,Hybrid,861.9003258105755,2.4303622245788574,835.26
CMT2,76,Hybrid,884.5992782811236,2.5993599891662598,835.26
CMT2,76,Hybrid,885.3371226164046,2.2593398094177246,835.26
CMT2,76,Hybrid,871.5037310111276,2.597201347351074,835.26
CMT2,76,Hybrid,879.0397008679976,2.2199654579162598,835.26
CMT2,76,Hybrid,875.458946461853,2.5987939834594727,835.26
CMT2,76,Hybrid,891.1587150749599,2.4353413581848145,835.26
CMT2,76,Hybrid,890.9999899882373,2.0745482444763184,835.26
CMT2,76,Hybrid,879.2678005083745,2.340400457382202,835.26
CMT2,76,Hybrid,904.5262871519193,1.8603932857513428,835.26
CMT2,76,Hybrid,851.0530404293081,2.1009726524353027,835.26
CMT2,76,Hybrid,884.1623470370195,2.321152448654175,835.26
CMT2,76,Hybrid,894.4698869677827,2.0021181106567383,835.26
CMT2,76,Hybrid,877.7094484027662,2.3468759059906006,835.26
CMT2,76,Hybrid,874.2260931951834,2.099036693572998,835.26
CMT2,76,Hybrid,872.736136375074,1.9614386558532715,835.26
CMT2,76,Hybrid,882.128853227452,2.3964602947235107,835.26
CMT2,76,Hybrid,880.8730581817088,2.448979139328003,835.26
CMT2,76,Hybrid,877.6274933100927,1.6902806758880615,835.26
