Instance,Size,Algorithm,Cost,Time,BKS
CMT4,151,Standard,1263.294290780503,18.319666624069214,1028.42
CMT4,151,Standard,1256.4284674495063,17.27588176727295,1028.42
CMT4,151,Standard,1287.138238838693,19.067528247833252,1028.42
CMT4,151,Standard,1264.9263140855778,25.258476734161377,1028.42
CMT4,151,Standard,1346.5659364052729,21.76769471168518,1028.42
CMT4,151,Standard,1343.3208999511876,23.486117362976074,1028.42
CMT4,151,Standard,1269.6056132544688,24.1643283367157,1028.42
CMT4,151,Standard,1276.9952942080797,22.40696430206299,1028.42
CMT4,151,Standard,1222.7344972740034,24.99183702468872,1028.42
CMT4,151,Standard,1272.0374715281152,20.8136203289032,1028.42
CMT4,151,Standard,1362.120532486619,20.86473822593689,1028.42
CMT4,151,Standard,1350.9926108703166,20.870126247406006,1028.42
CMT4,151,Standard,1292.8608086476152,22.07893657684326,1028.42
CMT4,151,Standard,1356.2263933123284,21.396228790283203,1028.42
CMT4,151,Standard,1268.1412748543246,21.294474124908447,1028.42
CMT4,151,Standard,1287.6332264647,21.1445415019989,1028.42
CMT4,151,Standard,1355.9212261885525,21.897342205047607,1028.42
CMT4,151,Standard,1335.1358022537947,22.317408561706543,1028.42
CMT4,151,Standard,1238.8557135541275,23.585303783416748,1028.42
CMT4,151,Standard,1368.8747559236683,22.04324769973755,1028.42
CMT4,151,Hybrid,1069.631628101744,52.08651542663574,1028.42
CMT4,151,Hybrid,1095.3816403497572,45.92436647415161,1028.42
CMT4,151,Hybrid,1072.6011463727066,47.95617127418518,1028.42
CMT4,151,Hybrid,1074.740011610641,42.88916325569153,1028.42
CMT4,151,Hybrid,1104.2865546187995,52.31746292114258,1028.42
CMT4,151,Hybrid,1072.0645313936907,43.215463161468506,1028.42
CMT4,151,Hybrid,1095.2371122868658,40.62022089958191,1028.42
CMT4,151,Hybrid,1084.4625794483275,40.33845353126526,1028.42
CMT4,151,Hybrid,1060.4605348436453,50.89916443824768,1028.42
CMT4,151,Hybrid,1086.2335945370828,47.32836055755615,1028.42
CMT4,151,Hybrid,1084.4944560377062,53.18021774291992,1028.42
CMT4,151,Hybrid,1087.953732238775,42.34306883811951,1028.42
CMT4,151,Hybrid,1068.6580718695122,39.35789465904236,1028.42
CMT4,151,Hybrid,1057.0375153314046,51.31532263755798,1028.42
CMT4,151,Hybrid,1068.6327195062295,46.797014236450195,1028.42
CMT4,151,Hybrid,1086.6434436062677,55.61357140541077,1028.42
CMT4,151,Hybrid,1079.1804696139357,39.1042423248291,1028.42
CMT4,151,Hybrid,1079.211769038201,52.210052728652954,1028.42
CMT4,151,Hybrid,1072.999293688485,39.33575487136841,1028.42
CMT4,151,Hybrid,1093.2536259903802,47.03217339515686,1028.42
