Instance,Size,Algorithm,Cost,Time,BKS,Iterations,LocalSearch
CMT12,101,Standard,954.9055150166906,6.199766635894775,819.56,200,False
CMT12,101,Standard,927.6354115849081,4.829031467437744,819.56,200,False
CMT12,101,Standard,990.9465342492852,4.974864959716797,819.56,200,False
CMT12,101,Standard,907.8425333079514,4.964719772338867,819.56,200,False
CMT12,101,Standard,921.5263429327152,4.680614471435547,819.56,200,False
CMT12,101,Standard,965.4174917643294,4.586169242858887,819.56,200,False
CMT12,101,Standard,912.1306323706015,4.724802494049072,819.56,200,False
CMT12,101,Standard,978.5371688602376,4.611838340759277,819.56,200,False
CMT12,101,Standard,957.1076778373272,4.61354398727417,819.56,200,False
CMT12,101,Standard,942.1219702250598,4.5992348194122314,819.56,200,False
CMT12,101,Standard,977.0949288875413,4.689265251159668,819.56,200,False
CMT12,101,Standard,981.4495277767429,4.634686231613159,819.56,200,False
CMT12,101,Standard,935.957581722913,4.641866683959961,819.56,200,False
CMT12,101,Standard,961.050063490286,4.640213966369629,819.56,200,False
CMT12,101,Standard,901.6281545470547,4.734470844268799,819.56,200,False
CMT12,101,Standard,947.5949216210265,4.657683372497559,819.56,200,False
CMT12,101,Standard,934.9280105517787,4.716633558273315,819.56,200,False
CMT12,101,Standard,911.3349442441682,4.626661062240601,819.56,200,False
CMT12,101,Standard,952.3423819031781,4.684138536453247,819.56,200,False
CMT12,101,Standard,946.1392145657738,4.6872169971466064,819.56,200,False
CMT12,101,Hybrid,829.4955661854543,9.307909965515137,819.56,25,True
CMT12,101,Hybrid,837.9257444052994,9.559704780578613,819.56,25,True
CMT12,101,Hybrid,835.911722457836,8.06322169303894,819.56,25,True
CMT12,101,Hybrid,829.5176637736379,10.412543773651123,819.56,25,True
CMT12,101,Hybrid,834.0557405861717,8.095080614089966,819.56,25,True
CMT12,101,Hybrid,832.899679434646,9.813159942626953,819.56,25,True
CMT12,101,Hybrid,825.1343525018149,10.093577146530151,819.56,25,True
CMT12,101,Hybrid,835.8411152069395,8.99059772491455,819.56,25,True
CMT12,101,Hybrid,833.2506806538136,11.041120767593384,819.56,25,True
CMT12,101,Hybrid,829.3832364508571,10.04627537727356,819.56,25,True
CMT12,101,Hybrid,823.4755921119043,9.655374526977539,819.56,25,True
CMT12,101,Hybrid,828.1784288974169,10.728410482406616,819.56,25,True
CMT12,101,Hybrid,831.4386947561629,10.600867986679077,819.56,25,True
CMT12,101,Hybrid,838.9605738077348,9.06716775894165,819.56,25,True
CMT12,101,Hybrid,823.216672886468,9.063257932662964,819.56,25,True
CMT12,101,Hybrid,831.3690087530589,10.471760034561157,819.56,25,True
CMT12,101,Hybrid,837.7300522257389,12.065445184707642,819.56,25,True
CMT12,101,Hybrid,826.1229714523747,9.860708951950073,819.56,25,True
CMT12,101,Hybrid,836.4566470556435,8.422282218933105,819.56,25,True
CMT12,101,Hybrid,833.8825309089705,8.550663709640503,819.56,25,True
